Creator / Team,Badge / SAO Title,Links (to Buy and/or Firmware Github),Price,"Contact (email, twitter, discord, etc)",Badge / SAO Functions,Qty Produced,Notes,Date Line Updated,,
Social Engineering Community,SEC DTMF Phone badge,https://www.se.community/2024-sec-phone-badge/,$80.00,https://x.com/sec_defcon,,,,,,
Social Engineering Community Youth Challenge,SECYC Marvin Badge,We give them for free as part of one of the challenges in our Youth Challenge Competition (this is an awesome way to get the kids involved),Free,https://twitter.com/sec_defcon,,,"It will be free to all youth challenge participants. If we have extra later in the con, we will sell them for $100 to help support the challenge, but it will be a limited qty. We recommend youth challenger pre-register to guarantee their spot. https://www.se.community/youth-challenge/",2024-07-24,,
Space Bits 'R Us,,,,,,,,,,
T9ck,EZ Puzzle Blinky Badge,Available at DEFCON Only (first 5 free),$40.00,Find them at this year's popular bar (circle or otherwise) OR offsite raa,Simulates the feeling of hitting a slots jackpot,75,,2024-07-31,,
technick,badge in design phase,,,,,,Should have more details 18 July 2024,2024-07-13,,
The Diana Initiative,,,,,,,,,,
Th0m4s,,,,,,,,,,
The Mad Hatters,Mad Hatter Auto Revelator,https://madhatters.lol,$100.00,,,100,https://madhatters.lol/ for information. Will be available at Hacker Warehouse at DC32,2024-07-06,,
,Madragrammaton SAO,,$25.00,,,75,,,,
Tor Project,,,,,,,,,,
Uberfoo Heavy Industries,UberBox Badge,https://shop.uberfoo.net/products/boxy-badge,$70.00,shop@uberfoo.net,"Broadcast text messaging, retro demo scene like graphics, and of course configurable name display",,,2024-07-24,,
Uberwoozle,Speedometer SAO (not a cat),Available for purchase at the Car Hacking Village (CHV),$50.00,https://www.carhackingvillage.com,"LCD display, official CHV speedometer, cat battles",,,2024-08-04,,
Uh...me? (funny..now tell me who you are so I can put a real name),Project CODESWITCH,,,,it calls down thunder and fills the sky with rain,,,,,
Verbaal and H4r0ld (House of Hacker Horrors),,,,,,,,,,
VetCON,Red Tape Badge (and damn does the military have a bunch of this),https://shop.threathunter.ai/collections/vetcon/products/preorder-vetcon-2024-badge-in-person-pickup-at-vetcon-community-space-only-copy,$90.00,Twitter: @Vetcon_Command,,,"Limited quantities. Also, the link is for those that will attend DC. If you will not be there, the link should not be used.",2024-07-24,,
Whiskey Pirate Crew (not badgelife),PepperCon9,,$40.00,@whiskeyhackers link on twitter,,,"Cash on-site right now. If you want to. pay with a card, True will be available Wednesday night at a location TBD while he is assembling badges. Check twitter link for more information.",,,
,Flames,,$40.00,,,,,,,
,Infinite WiFi Portal,,$120.00,,,,,,,
Wireless Village,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
https://volunteersignup.org/JWYCP,"<-- If you are a badgemaker, please check to see if you can support.",,,,,,,,,
